Atoll	Constituency 	Constituent Islands	Name of MP	Const	Location
GA	Dhaandhoo Dhaairaa	Dhaandhoo	Mohamed Fazeel	P02	GA - Dhaandhoo
GA	Dhaandhoo Dhaairaa	Kondey	Mohamed Fazeel	P02	GA - Kondey
GA	Dhaandhoo Dhaairaa	Nilandhoo	Mohamed Fazeel	P02	GA - Nilandhoo
GA	Gemanafushi Dhaairaa	Dhevvadhoo	Asadhulla Shihab	P03	GA - Dhevvadhoo
GA	Gemanafushi Dhaairaa	Gemanafushi	Asadhulla Shihab	P03	GA - Gemanafushi
GA	Gemanafushi Dhaairaa	Kanduhulhudhoo	Asadhulla Shihab	P03	GA - Kanduhulhudhoo
GA	Kolamaafushi Dhaairaa	Kolamaafushi	Ibrahim Didi	P04	GA - Kolamaafushi
GA	Kolamaafushi Dhaairaa	Maamendhoo	Ibrahim Didi	P04	GA - Maamendhoo
GDh	Thinadhoo Uthuru Dhaairaa	Thinadhoo	Saudhulla Hilmy	Q01	GDh - Thinadhoo
GDh	Thinadhoo Dhekunu Dhaairaa	Thinadhoo	Mohamed Alsan Ahmed	Q02	GDh - Thinadhoo
GDh	Madaveli Dhaairaa	Hoandehdhoo	Mohamed Shameez	Q03	GDh - Hoandehdhoo
GDh	Madaveli Dhaairaa	Madaveli	Mohamed Shameez	Q03	GDh - Madaveli
GDh	Madaveli Dhaairaa	Nadella	Mohamed Shameez	Q03	GDh - Nadella
GDh	Faresmaathodaa Dhaairaa	Faresmaathodaa	Ashraf Rasheed	Q04	GDh - Faresmaathodaa
GDh	Faresmaathodaa Dhaairaa	Fiyoari	Ashraf Rasheed	Q04	GDh - Fiyoari
GDh	Faresmaathodaa Dhaairaa	Rathafandhoo	Ashraf Rasheed	Q04	GDh - Rathafandhoo
GDh	Gahdhoo Dhaairaa	Gahdhoo	Mohamed Ali	Q05	GDh - Gahdhoo
GDh	Gahdhoo Dhaairaa	Vaadhoo	Mohamed Ali	Q05	GDh - Vaadhoo
Gn	Fuvahmulaku Uthuru Dhaairaa	Fuvahmulah City	Hamad Abdulla	R01	Gn - Fuvahmulah City
Gn	Fuvahmulaku Medhu Dhaairaa	Fuvahmulah City	Ali Fazad	R02	Gn - Fuvahmulah City
Gn	Fuvahmulaku Dhekunu Dhaairaa	Fuvahmulah City	Ibrahim Hussain	R03	Gn - Fuvahmulah City
S	Hulhudhoo Dhaairaa	Addu City	Mohamed Shahid	S01	S - Addu City
S	Feydhoo Dhekunu Dhaairaa	Addu City	Ibrahim Didi	S02	S - Addu City
S	Maradhoo Dhaairaa	Addu City	Ahmed Didi	S03	S - Addu City
S	Hithadhoo Uthuru Dhaairaa	Addu City	Mohamed Sinan	S04	S - Addu City
S	Hithadhoo Medhu Dhaairaa	Addu City	Ahmed Azaan Marzooq	S05	S - Addu City
S	Hithadhoo Dhekunu Dhaairaa	Addu City	Ibrahim Nazil	S06	S - Addu City
S	Addu Meedhoo Dhaairaa	Addu City	Abdul Rahman	S07	S - Addu City
S	Feydhoo Uthuru Dhaairaa	Addu City	Ismail Nizar	S08	S - Addu City
S	Feydhoo Uthuru Dhaairaa	Addu City	Ismail Nizar	S08	S - Addu City
K	Hulhumale Dhekunu Dhaairaa	Malé City	Dr Ahmed Shamheed	T01	K - Malé City
K	Medhu Henveiru Dhaairaa	Malé City	Hussain Nasih	T02	K - Malé City
K	Henveiru Dhekunu Dhaairaa	Malé City	Hussain Imran Latheef	T03	K - Malé City
K	Henveiru Uthuru Dhaairaa	Malé City	Ahmed Aifan	T04	K - Malé City
K	Galolhu Uthuru Dhaairaa	Malé City	Mohamed Ibrahim	T05	K - Malé City
K	Galolhu Dhekunu Dhaairaa	Malé City	Meekail Ahmed Naseem	T06	K - Malé City
K	Mahchangoalhi Uthuru Dhaairaa	Malé City	Ibrahim Mohamed	T07	K - Malé City
K	Mahchangoalhi Dhekunu Dhaairaa	Malé City	Musthafa Hussain	T08	K - Malé City
K	Maafannu Uthuru Dhaairaa	Malé City	Mohamed Nazim	T09	K - Malé City
K	Maafannu Hulhangu Dhaairaa	Malé City	Mohamed Musthafa Ibrahim	T10	K - Malé City
K	Maafannu Medhu Dhaairaa	Malé City	Asma Rasheed	T11	K - Malé City
K	Maafannu Dhekunu Dhaairaa	Malé City	Abdulla Rifaau	T12	K - Malé City
K	Vilimale Dhaairaa	Malé City	Mohamed Ismail	T13	K - Malé City
K	Henveiru Hulhangu Dhaairaa	Malé City	Ali Ibrahim	T14	K - Malé City
K	Mahchangoalhi Medhu Dhaairaa	Malé City	Ahmed Xamyr	T15	K - Malé City
K	Hulhumale Medhu Dhaairaa	Malé City	Abdulla Shazeem	T16	K - Malé City
K	Hulhumale Uthuru Dhaairaa	Malé City	Hussain Shareef	T17	K - Malé City
AA	Mathiveri Dhaairaa	Bodufulhadhoo	Hassan Zareer	U01	AA - Bodufulhadhoo
AA	Mathiveri Dhaairaa	Feridhoo	Hassan Zareer	U01	AA - Feridhoo
AA	Mathiveri Dhaairaa	Himandhoo	Hassan Zareer	U01	AA - Himandhoo
AA	Mathiveri Dhaairaa	Maalhos	Hassan Zareer	U01	AA - Maalhos
AA	Mathiveri Dhaairaa	Mathiveri	Hassan Zareer	U01	AA - Mathiveri
AA	Thoddoo Dhaairaa	Rasdhoo	Hussain Sameer	U02	AA - Rasdhoo
AA	Thoddoo Dhaairaa	Thoddoo	Hussain Sameer	U02	AA - Thoddoo
AA	Thoddoo Dhaairaa	Ukulhas	Hussain Sameer	U02	AA - Ukulhas
